Q,A
 이륜차 관련 제도 개선 요청,교통_건축_국토
 신분당선 단계 사업 광교 호 매실 조속 이행 촉구,교통_건축_국토
 채용 시간 선택 제 공무원 공무원 연금 가입 청원,인권_성평등
 남성 전용 임대주택 도입,인권_성평등
 남성 실질 독박 국방의무 이행 여성 의무 이행 동참 법률 정이,외교_통일_국방
 소급 적용 주택 무 주택,기타
 옥 인사 수석 경질 요청,행정
 서산시 지곡면 오토 산업 폐기물 매립 진실,안전_환경
 약 살 수 왜 안 주시 심평원 안,보건복지
 택지 분양 문제 해결,교통_건축_국토
 인건비 지원 가정 어린이집 희망,육아_교육
 청원경찰 공무원 신분 보장,행정
 화물차 운송 자 현실 타파,교통_건축_국토
 보육 교사 별 인건비 지원,육아_교육
 영아 보육 담임 교사 고용 안정,육아_교육
 교사 관 진실,육아_교육
 여자 집값 지원 정책 폐지,인권_성평등
 공무원 신분 회복 위성 청원경찰 법 위 성과 합리 입법 제안,행정
 나라 다운 나라 어린이집 다운 어린이집,보건복지
 희귀질환 황반변성 의료 보험 혜택 확대 요청,보건복지
 국가 및 자치 단체 근무 청원경찰 비애,행정
 청약 저축 통장 기능 변경 청원,기타
 여성가족부 폐지 양성평등 위원회 설치,인권_성평등
 시골 남성 대한 매매혼 원금 지급 중지,인권_성평등
 별거 부부 문제 해결,육아_교육
 여성부 폐지 청원,정치개혁
 농촌 처녀 국제 결혼 지급,인권_성평등
 사립 유치원 보육료 인상 등 집회 반대,육아_교육
 장기 시설 현실 기억 시오,보건복지
 여성부 폐지 바램,인권_성평등
 축산 처리 법 기도 포함,기타
 농촌 남성 국제 인신 매매혼 원금 즉각 중단 청원,인권_성평등
 경찰 대학교 여학생 입학 제한 폐지,인권_성평등
 군인 방지 대한 대책 마련,인권_성평등
 아이 꿈 희망 장소 지역 센터,보건복지
 청소년 이유 보호 법 악용 청소년 반드시 소년법 폐지,인권_성평등
 청소년 이유 보호 법 악용 청소년 반드시 청소년 보호 법 폐지,인권_성평등
 에어소프트 건 규제 완화,문화_예술_체육_언론
 대통령 아이,육아_교육
 고 이용준 형사,기타
 지하철 남성 전용 칸,인권_성평등
 문재인 대통령 경찰 시험 과목 개편 촉구,안전_환경
 술 정신병 범죄 심신 미약 감형 대해 법률 개정,인권_성평등
 불합리 행정 개편 개선,행정
 소년법 폐지 청원 부산 사하구 여중생 폭행 사건 가해자 강력 처벌 청원,안전_환경
 소년법 전면 개정 요청,인권_성평등
 의사 진료 볼 수,보건복지
 청소년 보호 법 폐지,정치개혁
 부계 모계,인권_성평등
 사법 항의 개정 제안,보건복지
 부산 사하구 가해자 명 엄중 처벌,인권_성평등
 도서 정 가제 폐지 청원,문화_예술_체육_언론
 부산 교육청 아동학대 발생 은하 유치원 폐 하라,육아_교육
 헌법 법률 보장 사립 유치원 취원 원아 대한 무상교육 실행 위 청원,육아_교육
 커녕 휴일 월급 백만원 못 지자체 무직 무기계약직,일자리
 초등 교실 지자체 관 관련,육아_교육
 출생 시 아이 기본 어머니 성,인권_성평등
 불법 체류 강력 단속 및 외국인 노동자 비자 발급 기준 강화 촉구,일자리
 교육청 소속 시설 관리 직렬 업무 전수 조사 직렬 구조조정,행정
 범법 자 대해 국민 알 권리 가해자 알권리 법 발의 요청,인권_성평등
 부산 여중생 폭행 사건 축소 은폐 조작 사상 경찰서 경찰관 대한 파면 사법 처리,인권_성평등
 퍼스 널 모빌리티 자전거 도로 주행 허용,교통_건축_국토
 서산시 지곡면 오토 산업 폐기물 매립 진실,안전_환경
 대기업 실업률,일자리
 대기업 실업률,일자리
 시민 동의 삼척 화력발전소 조기 착공 인 허가 승인 청원,일자리
 경찰 직무 유기 대한 처벌 강화,행정
 오늘 우리 아이 석면 노출 위기 처,안전_환경
 때 직원 때 조교 국립대 비 학생 조교 처우 개선,일자리
 히딩크 감독 한국 월드컵 대표팀,문화_예술_체육_언론
 박근혜 정권 적폐 행정 화성시 숙 곡리 화장 추진 중단 시오,안전_환경
 조두순 반대,미래
 히딩크 감독 한국 감독 직 재 부임,문화_예술_체육_언론
 정시 확대 법안 고등 교육법 개정안 국회 통과,육아_교육
 히딩크 감독 국가대표팀 감독,문화_예술_체육_언론
 초 등교 원수 계획 정책 실패 대한 책임 인정 하루 대책 마련,육아_교육
 배우자 부정행위 이혼 위자료 및 상 간자 손해배상 위자료 금액 현실 증액,미래
 학생 교육 보장,육아_교육
 학교 근무 교육 무직 영양사 처우 개선 청원,인권_성평등
 과연 주택 공사 무 주택 서민 위해 일,교통_건축_국토
 여성 결혼 후 호칭 개선 청원,인권_성평등
 남성 의무 인공 자궁 이식 정책,육아_교육
 신재생에너지 정책 일맥상통 태양광 소재 산업 선두 기업인 전라북도 익산 넥솔론 청산 반대,일자리
 여성 임원 할당 제의 점진 시행 촉구,인권_성평등
 미세먼지 해결 촉구 집단 미세먼지 공포증 국민 고통,안전_환경
 케어 건강 보험 보장 강화 성공 정착 위 제언,보건복지
 제사 폐지,인권_성평등
 죽음 고 집배원 순직 요구,기타
 명의 유치 초 중 학생 안전 위협,안전_환경
 서울 잠실 올림픽 경기장 장소 대여 수,문화_예술_체육_언론
 대한민국 진행 평화 행사 진행,문화_예술_체육_언론
 대한민국 평화 행사 판단,문화_예술_체육_언론
 평화 행사 수 심사,문화_예술_체육_언론
 생리 휴가 폐지 청원,인권_성평등
 원 참여 유치원 행정감사,육아_교육
 창원 북면 송전탑 원천무효,농산어촌
 지역 주택 조합 아파트,정치개혁
 청소노동자 위 휴게 시설 의무 설치 법 제정,안전_환경
 목포해양대 학교 기 고 장선호 죽음 원인,외교_통일_국방
 불법 파업 자행 사립 유치원 피 세금,육아_교육
 유치원 휴업 비 문제해결,육아_교육
 하남 감일 지구 소음 진의 방지 위해 방음벽 방음 터널 공사 위례 북 도로 방음벽 설치 형평성 논란,안전_환경
 대한민국 장애인 특수 학교 설립 주민 기피 시설 이유 반대 헌법 법률 보장 장애인 교육 보장 위해 난관 책무 시오,육아_교육
 만국 회의 주년 기념 행사 대관 청원 요청,행정
 박성진 후보자 임명 철회 부탁,정치개혁
 여성부 폐지 청원,정치개혁
 주페 기물 소각 설치 반대,안전_환경
 수사 통 조합원 금전 손해 회복 시기,기타
 제 의 가습기 살균제 사건,안전_환경
 청소년 빠대 히오스 의무 정책,문화_예술_체육_언론
 보건복지부 및 건강 보험 심사평가원 글,보건복지
 신천지 관련 단체 행사 장소 대관 청원 제한 요청,행정
 법안 명의 사람 이 나라,교통_건축_국토
 지역 주택조합 분양 제 적용 반대,교통_건축_국토
 사이비종교 피해 방지법 제정,안전_환경
 지역 주택조합 분양 제 제외,교통_건축_국토
 환경 친 적 자동차 보급 시행 계획 개정 정경 유착 포괄 뇌물죄 묵시 청탁 의혹 신고,안전_환경
 자유 한국 위 정당 해산 심판 청구 요구,정치개혁
 국민 건강 조사 채식 여부 채식 수준 채식 기간 가지 항목 추가,보건복지
 장애인 교육 권리 특수 학교 건립,육아_교육
 지역 아동 센터 종사 최저임금 가요,보건복지
 현대 라이프 생명 대기업 횡포,일자리
 자격증 취업 시대 산업 인력 공단 채점 기준 개선,일자리
 국민 피해 스포츠토토 업체 케이 토토 고발,경제민주화
 대리 운전 업 수수료 대한 법적 규제 생각,일자리
 사학 연금 대상자 육아휴직 사각 지대 개선 요청,육아_교육
 정부 반드시 징병 추진,인권_성평등
 국가 사회 반종교 누구 진실 시기,정치개혁
 케이 토토 퇴 문화 관광부 개혁 요청,기타
 공공기관 및 공기업 채용 비리 채용 청탁 등 부정행위 당사자 및 연루 처벌,일자리
 자유 한국 정당 해산,정치개혁
 교육부 어회 강사 인권 말살,일자리
 온라인 모바일 게임 행성 뽑기 룰렛 아이템 법적 폐지 개선,문화_예술_체육_언론
 현 스포츠토토 사업 문제점 고발,경제민주화
 부산 개성 중학교 살인 사건 재 조사 촉구,인권_성평등
 유치원 방과후 과정 강사 및 교실 강사 무기계약직 전환 반대,육아_교육
 국정원 개혁 발전 위원회 적폐 청산 의 정부 시기 문화 예술 연예계 정부 비판 세력 퇴 건의 조사 결과 공개 요청,문화_예술_체육_언론
 동물학대 꽃 마차 한국 마사회 진흥 한국 마사회 마차 보급 사업 철회,안전_환경
 신혼부부 등처 사기꾼 여행사,문화_예술_체육_언론
 학부모 유아교육 비 직접 입금 국민 무상교육 실현,육아_교육
 사회 복지사 처우 개선 관련 정신 요양 시설 사회 복지 대통령 보건복지부 장관 꼭,보건복지
 국민 눈물 점안 인공 눈물 제약회사 국민 건강 보험 재정 누수 사례,보건복지
 언론 책임 제 청원,문화_예술_체육_언론
 국 공립 유치원 증설,육아_교육
 초등 스포츠 강사 호 소문,일자리
 중국 대만 못 일본 방사 능 수입 정책 왜 정부 일본 방사 능 음식 물질 대한 의지,안전_환경
 국제 기구 요청 북한 지원 반대,외교_통일_국방
 나라 다운 나라 어린이집 다운 어린이집,보건복지
 문재인 대통령 탄핵 청원,정치개혁
 중증 질환 자녀 시간제 보육 시간 연령,육아_교육
 희망 씨앗 공금 횡령 사기,보건복지
 산업 공사 현장 등 응급구조사 배치,안전_환경
 송파구 풍납동 현 문제점,안전_환경
 민간 기업 일반 산업 단지 조성 시 토지 강제 수용 대하,교통_건축_국토
 난임 건강 보험 적용 횟수 제한,저출산_고령화대책
 시행 예정 난임 국민 건강 보험 정책 관련 청원,저출산_고령화대책
 난임 건강 보험 관해,저출산_고령화대책
 이명박 정부 방송 장악 문건 공개 청원,문화_예술_체육_언론
 난임 관련 건강 보험 적용 나이 및 횟수 제한 원금 계 반대,저출산_고령화대책
 사립 유치원 전수 조사 실시 시오,육아_교육
 유치원 어린이집 회계 외부 감사 의무,육아_교육
 난임 건강 보험 나이 제한,저출산_고령화대책
 초등 스포츠 강사 인격 살인 교육부 전환 심의 결과 대해 드릴 수 전면 재 검토,일자리
 난임 정책 재고,보건복지
 난임 개인 책임 국가 국민 모두 해결,보건복지
 오늘 통해 방송 국립 순천대 위안부 발언 및 성비 폭언 등 교수 파면 청원,인권_성평등
 대판 노예제 시간 선택 제 공무원 제도 폐지 청원,인권_성평등
 건강 보험 난 임지원 횟수 제한 나이 제한 철회,보건복지
 난임 수술 비 건보 제한 청원,보건복지
 시험관 건강 보험 적용 시 만 세 연령 기준 폐지 요청,보건복지
 한부모 가족 행복 보장,보건복지
 부천 특 고압 설치 민원 문제점 국책 사업 주민 의견 수렴 및 전자파 기준 해외 기준 상향,안전_환경
 안 못 임신 의료 보험 적용 기만 분 희망 시오,저출산_고령화대책
 난임 정책 재고,저출산_고령화대책
 난임 정책 재 검토 필요,저출산_고령화대책
 난 임지원 정책 요청,저출산_고령화대책
 직무 부여 및 전직 통한 인력 재 배치 시도 교육청 소속 시설 관리 직렬 공무원,행정
 임신 고통 분 희망 시오,저출산_고령화대책
 난임 건강 보험,보건복지
 난 임제 제한,보건복지
 난임 보험 적용 제한,보건복지
 저출산 임지원 정책,저출산_고령화대책
 난 임지원 재 수정,보건복지
 난임 부부 지원 정책 대통령,저출산_고령화대책
 대통령 지역 센터,보건복지
 코리아 아웃 라스트 제품 조사 청원,안전_환경
 유치원 회계감사 제대로,육아_교육
 난 임지원 개선,저출산_고령화대책
 킨텍스 역삼 성역 조기 착공,교통_건축_국토
 난임 정책 다시,보건복지
 난 임지원 계 고려,저출산_고령화대책
 난임 정책 다시 재고,저출산_고령화대책
 난임 정책 실제 부담 감 줄,저출산_고령화대책
 아이 여자,보건복지
 신천지 사이비 종교 행사 화성 종합 운동장,행정
 정부 나라 이야기 저출산 문제,저출산_고령화대책
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,교통_건축_국토
 대한민국 국방 개혁 성공 열쇠 군무원 활용,외교_통일_국방
 건설 현장 주 보장,보건복지
 국회의원 선출 직 공무원 무급 명예 직 전환,정치개혁
 군부 훈련 장내 군사 반란 모자 기념비 철거,외교_통일_국방
 대학 입시 수능 비중,미래
 초등 교실 활용 보육 시설 확충,육아_교육
 장군 딸 변호사 등 업자 살해 등 방법 갈취 범 인 처벌,인권_성평등
 방통위 재 허가 낙제 점 를 허가 취소,문화_예술_체육_언론
 부정 청탁 및 금품 금지 관 법률 김영란 법 개정 반대 청원,정치개혁
 낚싯배 선비 담합 의혹 해결,농산어촌
 초등학교 교실 예산 확대 및 운영 지침 재고,육아_교육
 건축사 사무소 근무 환경 복지 해결 관 촉구 글,보건복지
 정시 비중 확대,육아_교육
 인증 상공 서서히 길이 생각 전면 개정 요청,안전_환경
 야스쿠니 사건 대한민국 청년 국내,외교_통일_국방
 어린이집 평가 인증 폐단,육아_교육
 어린이집 아동학대 더 이상 방치,육아_교육
 백화점 근로시간 단축,일자리
 빈 교실 보육 시설 활용,육아_교육
 인천 자청 개발 계획 총괄 업무 태만 월권 행위 서민 고통,행정
 유시민 작가 임명 청원,정치개혁
 한부모 가정 혜택 기준 완화,육아_교육
 쿠데타 칭송 의미 제주 도로 명칭,교통_건축_국토
 초등학교 교실 보육 시설 활용,일자리
 유시민 작가 청와대로 중,보건복지
 방산 비리 뿌리 방산 비리 환수 소송 진행,외교_통일_국방
 우리 아기,보건복지
 과도 정시 전형 축소 문제 해결,육아_교육
 위험 직무 순직 공무원 처리,행정
 위험 직무 순직 공무원 위해,행정
 경찰 계급 축소 및 현장 인력 재 배치 반행 정직 확대 필요성,성장동력
 민주 유공 명단 공적 공개 하라,정치개혁
 영장 전담 판사 교체 청원,정치개혁
 네이버 파워 링크 유도 사이트 폐지 반대,기타
 문재인 대통령 장애인 노동권 보장,일자리
 더 이상 열정 강요 건축사 사무소 근무 환경 개선,보건복지
 사법시험 폐지 반대,정치개혁
 경의 중앙 선 연착 운행,교통_건축_국토
 성폭력 가정폭력 피해자 법원 이혼 기각,인권_성평등
 문재인 탄핵,미래
 뮤지컬 과도 티켓 값 인상 제작 진 급료 미지 대해 관심,문화_예술_체육_언론
 공 사립 기관 이용 학부모 부담 격차 해소,육아_교육
 민간 임대 후 분양 환시 분양 확정 제한 기준 입법 요청,교통_건축_국토
 사립 대학교 사유화 방지 대학교 사유화 문제 해결 청원,육아_교육
 국립 사진 센터 건립,문화_예술_체육_언론
 상장 공기업 사장 선임 절차 개선,행정
 양평 용담대교 대형 참사,안전_환경
 안전 관리자 처우 개선,안전_환경
 난임 지원 나이 제한 및 횟수 제한,보건복지
 소방 공무원 처우 개선 시험 일정 및 모집 계획 대한 청원,일자리
 대한민국 국민 건강 안녕 문재인 대통령 물리치료 자립 개설 청원,보건복지
 초등 교실 활용 보육 시설 확충 반대,육아_교육
 어린이집 실시간 열람 시스템 부탁,육아_교육
 외국인 노동자 규제 규제,일자리
 외국인 불법체류자 추방 입국심사,외교_통일_국방
 초등학교 유효 교실 이용,육아_교육
 학대 어린이집 이름 공개,육아_교육
 평가 인증 폐지,보건복지
 설계 용역 관련 근무 환경 개선,일자리
 나라 아들,기타
 아동학대 아동동 관련 범죄 처벌 법 개정 과 관련 기관 처벌 법 강화 개정 요구,육아_교육
 문제 대통령 약속 이행 청원,외교_통일_국방
 집앞 장례식 합법,안전_환경
 학교 빈 교실 어린이집 활용 의견 반대,육아_교육
 가짜 뉴스 생산 언론 실효 법 제정,문화_예술_체육_언론
 위험 직무 수행 사망 경찰관 소방관 순직 심사 관련 제도 개선,인권_성평등
 어린이집 유치원 공개,육아_교육
 외국인 해외동포 포함 건강 보험 무임 승차 차단 방안 강 구해 시오,보건복지
 신혼부부 생애 주택 디딤돌대출 연봉 상향 조정,교통_건축_국토
 수시 폐지 대폭 축소,육아_교육
 옵션 만기일 기관 투자자 담합 통한 주가조작 조사 금융투자 국가 지자체,기타
 조두순 전 보호관찰 인력,정치개혁
 경찰 계급,행정
 장충 체육 관건,교통_건축_국토
 교사 방학 중 당직 근무 폐지 학생 학교 비정규직 피해 보고,육아_교육
 대기업 현대 제철 하청 업체 동일 가치 노동 동일 임금 처우 개선 시급,일자리
 위험 직무 수행 사망 경찰관 소방관 순직 심사 관련 제도 개선,미래
 조두순 소전 중요 성범죄자 방송 신상 공개 및 전담 감시 원수 선진국 수준 증원,기타
 계약위반 서민 시공사 벌,교통_건축_국토
 다시 한번 더 소년법 개정 청원,인권_성평등
 대출 사기 신고 해도 해결,기타
 아동 학대 및 아동 관련 범죄자 처벌 강화,육아_교육
 연차 대체 합의 를,보건복지
 영유 학대,육아_교육
 어린이집 보육 교사 칼퇴 계시 인정,보건복지
 조두순 보호관찰 관 인원 확충,안전_환경
 여성 홈리스 케어 정책 수정,보건복지
 의료 사고 대한 법안,보건복지
 육아휴직 연차 적용 개정 근로기준법 관련,육아_교육
 어린이집,보건복지
 조두순 소전 보호 감찰관 증원,안전_환경
 장충 체육관 불법 취소,기타
 긴급 청원 도봉구 청장 비 민주 행태 및 비리 개선,정치개혁
 출생신고 출생 예정 일로 특별법 제정,육아_교육
 정시 비중,기타
 표류 서울시 관악구 청년 주택 사업 추진 정부,교통_건축_국토
 조두순 사건 재심,육아_교육
 조두순 대서,안전_환경
 청와대 자단 해외 수행 자단 제도 폐지 청원,문화_예술_체육_언론
 교육부 장관 사퇴,육아_교육
 학생 부 종합 전형 학교생활기록부 작성 항목 개정,육아_교육
 건설 근로자 기술자 주,안전_환경
 서영,일자리
 선택 포스코 운전기사,인권_성평등
 충주 여경 사망 사건 관련 충북 지방 경찰청 담당자 파면,정치개혁
 교사 법적 학생 통제 수 장치 제공,육아_교육
 비혼 지원 충 처벌,인권_성평등
 공공시설 장충 체육관 사용 허가 불법 취소 대해 엄정 조치,기타
 공공시설 장충 체육관 사용 허가 불법 취소 대해 엄정 조치,기타
 만행,문화_예술_체육_언론
 나영 아버님 조두순 소전 얼굴 공개,안전_환경
 의료 용 대마 합법 대해 고심,보건복지
 동물보호법 강화 야생동물 카페 운영 금지 청원,반려동물
 우리 좀 제발 도,일자리
 성범죄자 재범 율 위해 재범 경찰 벌점 뇨,기타
 엄마 기도,육아_교육
 계약 때 설명 것 다른 아파트 자만 손 이 상황 요,교통_건축_국토
 청소년 담배 적발 시 관련 법안 마련,행정
 인터넷 네이버 카페 중고나라 사건 전담 경찰 배치 건의,안전_환경
 소지품 검사 시행 금지 령,인권_성평등
 건강 보험 보장 확대 반점 제거 시술 포함,보건복지
 초등학생 스마트폰 구,육아_교육
 장충 체육관 불법 취소,행정
 장충 체육관 시설 허가 불법 취소 청원,행정
 사이코패스 성범죄자 조두순 재심 수 형법 개정,인권_성평등
 건설 불당 웰시 티 푸르지오 횡포,교통_건축_국토
 조작 날조 대한민국 언론 폐 제발 꼭 청산,문화_예술_체육_언론
 조두순 감시 보호관찰 관 더,안전_환경
 청와대 출입 자단 해체 보 왜곡 대한 책임 강화,문화_예술_체육_언론
 편의점 의약품 판매 정책 폐지,보건복지
 국위 선양 선수 병역면제,문화_예술_체육_언론
 학교폭력 사안 경찰 담당 학교폭력 법률 안 개정,육아_교육
 정정 보도 대한 청원,문화_예술_체육_언론
 소프트웨어 기술자 신고 제도 폐지,기타
 네이버 등 포털 기사 대한 댓글 실명 제 요청,인권_성평등
 교육부 당장 정시 비율 확대,육아_교육
 공공시설 장충 체육관 사용 허가 불법 취소 대한 조치,교통_건축_국토
 광진구 자양 구역 상인 생활권 생존권 보호,교통_건축_국토
 어린이집 평가 인증 를폐쇄하 시기,육아_교육
 문재인 탄핵 청원,정치개혁
 공공시설 장충 체육관 사용 허가 불법 취소 건,외교_통일_국방
 징역 형량 상향,행정
 요양보호사 처우 선비 지급 건,보건복지
 보도 언론인 처벌 수 법률 청원,인권_성평등
 문재인 대통령 방중 물의 기자 구상권 청구,외교_통일_국방
 프리랜서 직업,일자리
 유시민 헛소리 초등 교사 보육 교사 뿔,육아_교육
 방산 비리 척 결의 책임자 사람 여야,외교_통일_국방
 이대 목동 병원 임시 폐쇄,안전_환경
 범죄자 보호관찰 관 인력 증원,일자리
 국민 청원 공공시설 장충 체육관 사용 허가 불법 취소 대해 엄정 조치,행정
 평창 올림픽 관련 군 의료 인력 처우 개선 요청,인권_성평등
 권역 외상 센터 공공기관 국가 운영,보건복지
 예방접종 부작용 뇌전증 환 처우,보건복지
 다이소 아성 기업 실태 조사,인권_성평등
 학생 부 종합 전형 비율 축소,육아_교육
 위험 직무 수행 사망 경찰관 소방관 순직 심사 관련 제도 개선,인권_성평등
 출산 장려 신생아 카시트 공급 건의,육아_교육
 긴급 목동 병원 신생아 명 동시사망 사고 대한 진상 규명 요청,안전_환경
 국회의원 성과 봉제 정부 입법 제안,정치개혁
 대한민국 진짜 언론 언론 완전 개방 컨 테츠로 경쟁 만듭시,문화_예술_체육_언론
 업 비트 서버 관리 곳 규제 좀,행정
 아스 퍼거 증후군 복지 활성화,보건복지
 이대 목동 병원 폐쇄 청원,보건복지
 목동 병원 폐쇄 요청,보건복지
 장충 체육관 사용 허가 불법 취소,문화_예술_체육_언론
 공공시설 장충 체육관 사용 허가 불법 취소 대한 건,문화_예술_체육_언론
 지난 정권 시작 방산 비리 수사 원점 재 검토 요구,외교_통일_국방
 교육청 시설 관리직 공무원 자살,인권_성평등
 목동 병원 여야 명 사망 진상 규명 청원,안전_환경
 법 개정,보건복지
 성동구 초등생 투신 관련 소년법 연령,기타
 다이소 각성,일자리
